epoch,loss,val_loss
0,1.43160768628,0.374201238155
1,0.439151126146,0.35013923049
2,0.400946002603,0.341447782516
3,0.387972032428,0.331122732162
4,0.383829415441,0.3132376194
5,0.381493828893,0.327675646544
6,0.377130040526,0.32280369997
7,0.371606867313,0.311651015282
8,0.3709334445,0.313329780102
9,0.366157206893,0.306259983778
10,0.361687431335,0.306270521879
11,0.355668854713,0.291858351231
12,0.355474208593,0.30415828824
13,0.350521966815,0.289567631483
14,0.34709431529,0.28548938036
15,0.345894624591,0.289506787062
16,0.337341901064,0.27533069253
17,0.339467405677,0.281908506155
18,0.335472825766,0.27152056694
19,0.329894958138,0.280820047855
20,0.326172971129,0.267631101608
21,0.322586185932,0.273929196596
22,0.313662492633,0.271504533291
23,0.312213169932,0.266317397356
24,0.310074151158,0.25526894629
25,0.301718354821,0.249524480104
26,0.300475888848,0.2608258605
27,0.291319829822,0.245980730653
28,0.289979789853,0.246513924003
29,0.283147651553,0.247051268816
30,0.278598217368,0.237183845043
31,0.271705442667,0.242988827825
32,0.267823805809,0.23923754096
33,0.262828533947,0.233949518204
34,0.262660025954,0.230371445417
35,0.255429465175,0.233719617128
36,0.249270805418,0.217727649212
37,0.248475183845,0.215717825294
38,0.245033296049,0.217914140224
39,0.242131940424,0.204743432999
40,0.237203211188,0.205027395487
41,0.235496284068,0.20447345376
42,0.231454758942,0.212140986323
43,0.230564693511,0.211208021641
44,0.223848216236,0.203126037121
45,0.221739813983,0.194294884801
46,0.218726963997,0.183082607388
47,0.21263772428,0.196136718988
48,0.213842442036,0.189755961299
49,0.211549123228,0.181156298518
50,0.206345256567,0.177942538261
51,0.205011332929,0.182916426659
52,0.20122374773,0.179137295485
53,0.202838824391,0.163704755902
54,0.198761153221,0.174998652935
55,0.194097818136,0.180016511679
56,0.193399616778,0.169396337867
57,0.189375248253,0.161797231436
58,0.188652874529,0.160991075635
59,0.185862621963,0.169404569268
60,0.181918236315,0.152725684643
61,0.181405810118,0.16496592164
62,0.181080100834,0.155368354917
63,0.173681132495,0.147622859478
64,0.172805711329,0.14831341207
65,0.173035084009,0.145864978433
66,0.171987908781,0.152945140004
67,0.169947572947,0.15098605454
68,0.164122376442,0.145978969336
69,0.165269466341,0.148528066278
70,0.161509198546,0.142654106021
71,0.161013287306,0.136657090485
72,0.157241476178,0.135433658957
73,0.155315428078,0.137177011371
74,0.154471518993,0.131681925058
75,0.153532763422,0.13876196444
76,0.15265360117,0.128482714295
77,0.150870048702,0.131430453062
78,0.195713157952,2.66522965431
79,1917.64362822,0.365895360708
80,2.74634774208,0.335877043009
81,2.5176223135,0.332149654627
82,2.33315872669,0.356937646866
83,2.25308318615,0.342497748137
84,2.14001407623,0.354729169607
85,2.02209647417,0.351745051146
86,1.91232952118,0.340373903513
87,1.83466985941,0.341178959608
88,1.77115372896,0.335135555267
89,1.69764611483,0.34801979661
90,1.58521455288,0.345399212837
91,1.55566595316,0.346578967571
92,1.50668009758,0.346444380283
93,1.44893114805,0.356446290016
94,1.40475047827,0.344265329838
95,1.35817468643,0.341234838963
96,1.33608995199,0.351739358902
97,1.28350068808,0.352493447065
98,1.25014971733,0.361202442646
99,1.22875394821,0.356153768301
100,1.20989245653,0.35524559021
101,1.17931125641,0.349518799782
102,1.15312894583,0.350956004858
103,1.14922167301,0.345926886797
104,1.12752414346,0.349082136154
105,1.09122091174,0.360269916058
106,1.06790031552,0.3618735075
107,1.04404757261,0.353954708576
108,1.04757090926,0.365580308437
109,1.00093494415,0.357470959425
110,0.992313684225,0.370203578472
111,0.974747235775,0.357761335373
112,0.95169719696,0.360512590408
113,0.945900124311,0.365500926971
114,0.920984805822,0.37324899435
115,0.918921875954,0.375554084778
116,0.898978766203,0.378235077858
117,0.88112927556,0.371257889271
118,0.865081928968,0.36840082407
119,0.859452819824,0.372450816631
120,0.856073824167,0.381881678104
